district_name,state_name,confidence_tier,Overall_MAI,Rank_Overall,Chronic_MAI,Rank_Chronic,Acute_MAI,Rank_Acute
KUPWARA,JAMMU KASHMIR,MEDIUM,17.36539274123131,595,17.069120959024715,585,22.544784337089986,565
BADGAM,JAMMU KASHMIR,LOW,22.620964063118596,569,27.855995316685817,498,25.290058334468924,535
LEH LADAKH,JAMMU KASHMIR,LOW,24.97600952398474,548,23.23725400893612,544,28.310628063049297,510
KARGIL,JAMMU KASHMIR,LOW,22.67665354688835,568,20.111663676428403,567,25.903288708998932,531
PUNCH,JAMMU KASHMIR,LOW,16.786563167805117,599,21.43312013352439,559,21.1535382024204,573
RAJOURI,JAMMU KASHMIR,MEDIUM,23.980855156052925,557,23.533161022978394,539,30.356053059982052,495
KATHUA,JAMMU KASHMIR,MEDIUM,32.073393147678416,485,36.029216517393216,410,33.46665098180382,480
BARAMULA,JAMMU KASHMIR,LOW,25.07956950049281,546,27.159555607717113,503,29.806201914976622,499
BANDIPORE,JAMMU KASHMIR,MEDIUM,14.095948197879327,618,14.813938475352675,599,18.609099781491683,584
SRINAGAR,JAMMU KASHMIR,MEDIUM,43.135094250232875,337,53.41661997798904,215,49.13246589465599,314
GANDERBAL,JAMMU KASHMIR,MEDIUM,16.954162128999396,597,18.92965153855721,573,21.354637711738057,572
PULWAMA,JAMMU KASHMIR,MEDIUM,27.0005285403171,530,32.04796442772617,459,33.72790056353357,478
SHUPIYAN,JAMMU KASHMIR,LOW,12.42982395983866,621,15.226547353356906,596,16.667882145746457,593
ANANTNAG,JAMMU KASHMIR,MEDIUM,23.860347528115415,560,25.3488772779174,519,25.077974860427265,538
KULGAM,JAMMU KASHMIR,MEDIUM,20.73960431723532,582,18.9156492845481,574,23.67146624277759,556
DODA,JAMMU KASHMIR,MEDIUM,15.274215231394958,608,17.277855245547542,584,14.669799261806778,602
RAMBAN,JAMMU KASHMIR,MEDIUM,16.75443442769575,600,16.93778337685577,588,20.996542924317882,575
KISHTWAR,JAMMU KASHMIR,MEDIUM,7.57871392670307,635,7.520956984283156,632,11.444495648845004,613
UDHAMPUR,JAMMU KASHMIR,MEDIUM,23.39763678131642,563,26.419155427075292,507,24.11128080693803,550
REASI,JAMMU KASHMIR,MEDIUM,20.19867380397914,585,16.944448850703022,587,24.762493800185254,544
JAMMU,JAMMU KASHMIR,MEDIUM,54.1699480347536,200,59.269617564429986,158,59.51070877402316,195
SAMBA,JAMMU KASHMIR,MEDIUM,42.12235311781581,355,49.64114947280949,257,50.746547160851385,294
CHAMBA,HIMACHAL PRADESH,MEDIUM,19.65823432209842,586,17.993274289260768,579,14.315176092721622,606
KANGRA,HIMACHAL PRADESH,MEDIUM,42.44994148237986,348,38.61834130843131,380,33.99908554563809,474
LAHUL SPITI,HIMACHAL PRADESH,MEDIUM,10.029680371700742,628,16.707844717330744,591,7.6851503768121745,621
KULLU,HIMACHAL PRADESH,MEDIUM,20.74967143470012,581,19.603322067429538,570,16.44352023130341,594
MANDI,HIMACHAL PRADESH,MEDIUM,33.32052436669041,467,31.773117058087813,461,25.857679812028977,532
HAMIRPUR,HIMACHAL PRADESH,MEDIUM,33.34282477069389,463,38.4755676922009,385,23.22090868195267,562
UNA,HIMACHAL PRADESH,MEDIUM,36.588012974543915,421,45.15381120631472,303,26.979915206610876,519
BILASPUR,HIMACHAL PRADESH,MEDIUM,29.711252771830477,509,33.711710756676496,438,21.359074231458592,571
SOLAN,HIMACHAL PRADESH,MEDIUM,37.94255361440487,408,47.65166489567582,275,28.75885160956695,504
SIRMAUR,HIMACHAL PRADESH,MEDIUM,25.581240841449354,540,26.296251616673832,509,19.505270345632635,579
SHIMLA,HIMACHAL PRADESH,MEDIUM,29.61433084213888,510,30.454809994527405,479,22.062832280593884,569
KINNAUR,HIMACHAL PRADESH,MEDIUM,12.023621040479869,623,17.057761806790314,586,8.883939230982639,619
GURDASPUR,PUNJAB,HIGH,52.286779605197864,220,64.06423696086688,108,44.481389997762335,363
KAPURTHALA,PUNJAB,HIGH,52.05898171090292,223,68.41588609826628,83,45.355334268696076,354
JALANDHAR,PUNJAB,HIGH,65.9008319229362,93,81.50260952369605,23,60.288615599071115,187
HOSHIARPUR,PUNJAB,HIGH,51.2235840315787,240,59.98245290220626,148,41.82759970176099,391
SHAHID BHAGAT SINGH NAGAR,PUNJAB,MEDIUM,42.0362435537116,356,57.30918059916744,177,36.00257765868709,459
FATEHGARH SAHIB,PUNJAB,HIGH,43.518993447447016,332,64.85125801323156,102,36.630237851030685,448
LUDHIANA,PUNJAB,HIGH,77.58851659342018,28,89.83301902494816,6,73.21583093760478,63
MOGA,PUNJAB,HIGH,38.7050381088238,404,60.31984232802519,146,30.928623189076394,492
FIROZPUR,PUNJAB,MEDIUM,45.04889013575541,311,60.767481106774405,142,36.58182692570236,451
MUKTSAR,PUNJAB,LOW,50.33572452765127,252,59.416945775399256,156,47.79630356610689,330
FARIDKOT,PUNJAB,HIGH,33.63876459407032,460,54.12275688105639,210,26.967555740327175,520
BATHINDA,PUNJAB,HIGH,54.81821327132942,191,70.94597156111219,63,56.06067057550342,235
MANSA,PUNJAB,MEDIUM,40.42472901057597,381,51.51820081830305,238,40.52781491356925,409
PATIALA,PUNJAB,HIGH,67.79602384794711,75,79.75585412041085,30,65.50238899323374,129
AMRITSAR,PUNJAB,HIGH,61.967881614481925,122,75.86445488089763,49,57.10631131486078,224
TARN TARAN,PUNJAB,MEDIUM,49.19162955875166,263,61.17232651578482,138,47.37547299242736,336
RUPNAGAR,PUNJAB,HIGH,45.48070776945326,307,61.65887233267069,133,38.30603138645777,431
SAHIBZADA AJIT SINGH NAGAR,PUNJAB,LOW,61.686146890937586,125,74.01767242583416,53,61.31763163400238,170
SANGRUR,PUNJAB,HIGH,52.55015042188219,218,64.3795836436487,105,45.92874349220358,349
BARNALA,PUNJAB,MEDIUM,41.81624074096296,361,57.90891680346263,166,39.67042769342322,412
CHANDIGARH,CHANDIGARH,HIGH,68.10630206912923,72,85.96180061328526,12,56.918768612937576,230
UTTARKASHI,UTTARAKHAND,LOW,26.061767350929564,538,31.32697319181305,464,24.624816513715068,545
CHAMOLI,UTTARAKHAND,HIGH,29.40988815940495,514,23.54267717723181,538,28.751659373288202,505
RUDRAPRAYAG,UTTARAKHAND,LOW,27.807435857071976,525,34.07438212913055,431,27.32006447852653,517
TEHRI GARHWAL,UTTARAKHAND,HIGH,33.83011735634109,455,28.54941027752926,490,35.925308696577886,460
DEHRADUN,UTTARAKHAND,HIGH,70.23336330353145,56,74.5519515235026,52,73.85165924143763,57
GARHWAL,UTTARAKHAND,LOW,36.46122332769,422,36.201981543523175,408,37.02576293918964,440
PITHORAGARH,UTTARAKHAND,HIGH,26.654529520684004,533,24.212402378767703,530,20.847947943068526,576
BAGESHWAR,UTTARAKHAND,MEDIUM,26.534317132031077,535,24.99400727467495,523,23.52831852408264,558
ALMORA,UTTARAKHAND,HIGH,32.67346839602711,481,26.19563325878293,510,35.13246104596733,467
CHAMPAWAT,UTTARAKHAND,HIGH,20.36161099213847,584,23.717295992635503,535,12.963911258776905,609
NAINITAL,UTTARAKHAND,HIGH,46.786983039865554,290,44.3060208138402,314,50.035005859930536,301
UDHAM SINGH NAGAR,UTTARAKHAND,MEDIUM,50.145858471587204,254,62.41719908239294,121,51.69837503390414,282
HARDWAR,UTTARAKHAND,HIGH,67.52113146067366,76,75.25440196920336,50,69.97356672715944,86
PANCHKULA,HARYANA,MEDIUM,41.937386367895805,360,59.75762706578045,151,40.77983099094129,403
AMBALA,HARYANA,MEDIUM,51.00118331337996,244,65.76414946987968,96,53.0761576150085,265
YAMUNANAGAR,HARYANA,MEDIUM,51.36233315951777,238,62.06504475616204,128,51.298622772443224,285
KURUKSHETRA,HARYANA,MEDIUM,43.95637070810814,327,59.874819355605105,149,43.680852182066246,371
KAITHAL,HARYANA,MEDIUM,39.72479812893142,391,50.454867428559645,249,40.73778341946985,405
KARNAL,HARYANA,MEDIUM,50.104594144307825,256,61.24230729915931,137,53.70897023962342,259
PANIPAT,HARYANA,MEDIUM,50.986805385283226,245,67.49530096534413,88,51.279609536407044,286
SONIPAT,HARYANA,MEDIUM,52.213222677163074,221,67.68920349659754,87,55.75393647682571,238
JIND,HARYANA,MEDIUM,47.0450795366266,286,52.98273727397954,220,54.16596596666031,254
FATEHABAD,HARYANA,MEDIUM,38.626452904479905,405,47.421244814301275,279,42.594218613158944,384
SIRSA,HARYANA,MEDIUM,41.754382475777376,363,49.96497838033277,254,43.77066582953149,369
HISAR,HARYANA,MEDIUM,51.10214062967942,242,57.07642964935849,180,57.48362813587352,220
BHIWANI,HARYANA,MEDIUM,46.2606655515264,299,52.859367620312746,221,52.29968989061504,271
ROHTAK,HARYANA,MEDIUM,44.55718237625421,317,61.32166748146916,134,47.04314875549187,339
JHAJJAR,HARYANA,MEDIUM,50.977876493604846,246,65.22601513419653,99,56.79195672272538,231
MAHENDRAGARH,HARYANA,MEDIUM,40.79976118520519,375,52.487894492674734,223,44.44003990109317,364
REWARI,HARYANA,MEDIUM,47.95038076189681,278,63.71727228085744,111,50.936712812927986,290
GURGAON,HARYANA,LOW,60.34461356381509,129,72.61673658429147,59,62.9036296365598,153
MEWAT,HARYANA,LOW,41.954377582726984,359,52.98584594046353,219,49.4562806802393,311
FARIDABAD,HARYANA,MEDIUM,55.991511405092595,176,72.59630080487428,60,57.173625930441716,222
PALWAL,HARYANA,MEDIUM,38.77520326711935,402,54.656456487067686,206,41.73871188939716,393
NORTH WEST,DELHI,MEDIUM,73.79418312557084,44,84.96315112920631,15,76.46593741582797,45
NORTH,DELHI,MEDIUM,77.38714975150664,29,87.99067082074335,9,75.77488847180233,47
NORTH EAST,DELHI,MEDIUM,62.989253299489114,114,82.26517926307653,20,59.516616292584835,194
EAST,DELHI,MEDIUM,72.87454715260108,48,85.76119078409545,13,68.154261233593,101
NEW DELHI,DELHI,MEDIUM,57.20076980500814,161,76.55751090064823,43,55.57073585732707,241
CENTRAL,DELHI,MEDIUM,71.46862132395032,53,87.98602874141676,10,65.8694805739994,125
WEST,DELHI,MEDIUM,82.60153428703161,11,88.235040921555,7,83.21324442917944,19
SOUTH WEST,DELHI,MEDIUM,68.19107720254803,70,80.13883929718912,26,75.0816677842513,48
SOUTH,DELHI,MEDIUM,74.16336902570421,43,83.17055627693493,18,74.07815135870892,55
GANGANAGAR,RAJASTHAN,HIGH,39.099029302450745,398,35.64146333167865,416,47.22483018013967,338
HANUMANGARH,RAJASTHAN,HIGH,34.06300241794074,449,30.028237146146967,480,43.05277424323756,376
BIKANER,RAJASTHAN,HIGH,31.32087579003759,492,23.278734131191257,543,36.902686828132914,445
CHURU,RAJASTHAN,HIGH,39.36372858075237,394,25.81022192055465,516,52.96027980311228,266
JHUNJHUNUN,RAJASTHAN,MEDIUM,40.80941705511963,374,38.51120944052036,383,52.20846198690117,274
ALWAR,RAJASTHAN,HIGH,55.21402438077004,186,55.931937146760156,193,64.73550920563352,138
BHARATPUR,RAJASTHAN,HIGH,43.100015299366795,338,42.16260594759921,338,52.09700760614089,278
DHAULPUR,RAJASTHAN,MEDIUM,25.434348143985414,543,24.822515938349827,524,34.71975752704087,472
KARAULI,RAJASTHAN,HIGH,34.0553006832761,450,33.16415502620766,447,46.90565784489415,341
SAWAI MADHOPUR,RAJASTHAN,HIGH,32.48699571876533,483,29.48690683109546,484,41.76383881613869,392
DAUSA,RAJASTHAN,HIGH,42.53840572996692,347,47.28443701571061,281,52.21038476054131,273
JAIPUR,RAJASTHAN,HIGH,62.68893873029459,118,65.25505922165853,98,72.9246031223095,64
SIKAR,RAJASTHAN,HIGH,53.15911545717826,209,42.9210753660225,330,67.95177591582755,103
NAGAUR,RAJASTHAN,HIGH,46.65592576224828,294,31.0583126026378,468,62.6770823267851,154
JODHPUR,RAJASTHAN,HIGH,47.059917138150055,285,39.09284819395479,377,61.07125612478564,172
JAISALMER,RAJASTHAN,HIGH,10.491813726400204,626,7.34889587192681,634,19.14152775312402,581
BARMER,RAJASTHAN,HIGH,31.505420063994542,490,15.901285137537974,592,45.689200772268244,350
JALOR,RAJASTHAN,MEDIUM,29.38400153956303,515,21.994711961527084,556,40.6669759095881,406
SIROHI,RAJASTHAN,HIGH,27.4643954405477,528,24.30706666783996,529,37.584500166797255,436
PALI,RAJASTHAN,HIGH,37.73701284082646,413,28.064752059311044,495,47.853707179257086,329
AJMER,RAJASTHAN,HIGH,51.2742388947938,239,43.20407269781329,326,63.561997180241036,149
TONK,RAJASTHAN,HIGH,30.736340921753722,496,24.384828941172348,528,38.47035293084357,429
BUNDI,RAJASTHAN,HIGH,25.538566320765373,541,23.693842518255398,536,28.623121048219758,508
BHILWARA,RAJASTHAN,HIGH,39.35833372942151,395,35.26300119810712,418,44.54843553034773,361
RAJSAMAND,RAJASTHAN,HIGH,36.278783953458216,425,34.61895229641358,425,47.28354877704612,337
DUNGARPUR,RAJASTHAN,HIGH,28.398323443947387,522,18.021853858435204,578,42.78662325956428,380
BANSWARA,RAJASTHAN,HIGH,31.10863209142073,493,22.532952949034133,552,42.10357300894588,388
CHITTAURGARH,RAJASTHAN,MEDIUM,34.436415052987066,448,34.33550437348566,429,42.07730218500858,389
KOTA,RAJASTHAN,HIGH,53.35604588707945,208,56.558196871874586,185,60.53412206565106,181
BARAN,RAJASTHAN,HIGH,34.79916990538425,445,29.71779149844101,483,43.102314784855956,375
JHALAWAR,RAJASTHAN,HIGH,33.339586222468014,464,27.50683295109091,500,37.257776256265245,438
UDAIPUR,RAJASTHAN,HIGH,45.15070481018413,309,32.95707120347205,451,55.5393094294631,242
PRATAPGARH,RAJASTHAN,HIGH,18.423625050801274,591,13.32330368391094,609,23.416403895498767,560
SAHARANPUR,UTTAR PRADESH,HIGH,58.657344903863375,150,58.705585569240135,162,68.17132491693266,100
MUZAFFARNAGAR,UTTAR PRADESH,HIGH,54.17196459120704,199,56.33266609352604,188,60.96234733491769,174
BIJNOR,UTTAR PRADESH,HIGH,46.691653061991296,293,42.583504622358184,334,49.00757201049686,316
MORADABAD,UTTAR PRADESH,HIGH,51.68379269888186,230,53.66935408995486,213,58.29829148412598,209
RAMPUR,UTTAR PRADESH,HIGH,44.72844463324452,313,48.78663964865474,265,50.125689437292976,299
JYOTIBA PHULE NAGAR,UTTAR PRADESH,LOW,46.741596033348614,291,48.093711447553,270,54.63987639321931,248
MEERUT,UTTAR PRADESH,HIGH,61.08404438747335,128,66.59680347439334,92,68.4025319158068,98
BAGHPAT,UTTAR PRADESH,HIGH,35.233202359060215,439,49.56208589224154,258,44.136805588191926,368
GHAZIABAD,UTTAR PRADESH,HIGH,63.06760034436919,113,70.1095901247769,71,72.70148039599403,67
GAUTAM BUDDHA NAGAR,UTTAR PRADESH,MEDIUM,58.48039620832576,151,72.4999582144378,61,64.96373440597188,134
BULANDSHAHR,UTTAR PRADESH,HIGH,56.84735771804311,165,57.46697380874372,174,69.07184077307676,94
ALIGARH,UTTAR PRADESH,HIGH,59.81392377816156,137,57.079712497665305,179,73.62365112322313,58
MAHAMAYA NAGAR,UTTAR PRADESH,LOW,51.19608688511046,241,51.69766180680132,236,61.408640267891,167
MATHURA,UTTAR PRADESH,HIGH,52.105230779455646,222,54.75732394241161,203,67.30216549555901,112
AGRA,UTTAR PRADESH,HIGH,65.30824978365688,98,65.42238257488671,97,79.53149710447087,31
FIROZABAD,UTTAR PRADESH,HIGH,59.09426442635692,142,59.46932896943415,155,71.16464984064478,78
MAINPURI,UTTAR PRADESH,HIGH,40.25896341875212,383,47.64460446378586,276,51.780171329550996,281
BUDAUN,UTTAR PRADESH,HIGH,44.59736916499205,315,41.74387969076873,346,51.11185426619599,288
BAREILLY,UTTAR PRADESH,HIGH,56.93609462086301,164,56.00236052708083,192,63.95273852829079,146
PILIBHIT,UTTAR PRADESH,HIGH,33.333785131881626,465,29.065748445082868,487,35.266595667330215,465
SHAHJAHANPUR,UTTAR PRADESH,HIGH,42.14662093916548,354,43.7822341794469,319,49.93746547421928,304
KHERI,UTTAR PRADESH,HIGH,50.08339258073019,258,37.67738775127032,392,60.644898035236736,178
SITAPUR,UTTAR PRADESH,HIGH,50.73519514941333,250,44.349670868197975,311,59.61430058412067,192
HARDOI,UTTAR PRADESH,HIGH,42.57475722562315,345,39.47382178521231,372,49.920832129413526,305
UNNAO,UTTAR PRADESH,HIGH,38.83911128452936,400,40.264516540801495,362,48.10990302488171,325
LUCKNOW,UTTAR PRADESH,HIGH,69.87696838471832,59,71.37425980074642,62,82.67302393438676,20
RAE BARELI,UTTAR PRADESH,HIGH,44.35064496705986,323,46.82526778378573,285,54.55246246979974,250
FARRUKHABAD,UTTAR PRADESH,HIGH,34.52495063215591,446,40.091099650467136,365,43.116466249677245,374
KANNAUJ,UTTAR PRADESH,MEDIUM,40.66106373192762,377,45.35949554318371,300,51.93653626037937,280
ETAWAH,UTTAR PRADESH,HIGH,43.61370385333927,330,51.76240392345718,235,54.09524823939166,255
AURAIYA,UTTAR PRADESH,HIGH,34.94250398754076,443,47.284500421316764,280,44.260468477216406,367
KANPUR DEHAT,UTTAR PRADESH,HIGH,32.7059357952608,480,42.060066720001366,340,40.15053653108091,411
KANPUR NAGAR,UTTAR PRADESH,HIGH,66.36051689405676,89,70.76738143799788,66,78.09497283491476,42
JALAUN,UTTAR PRADESH,HIGH,37.40925374326437,416,37.475895286936435,395,44.372758564319255,365
JHANSI,UTTAR PRADESH,HIGH,48.19220319783055,272,51.050000942032305,242,57.750083285250916,216
LALITPUR,UTTAR PRADESH,HIGH,23.905642120271697,559,22.54302393658241,551,27.44639304364141,516
HAMIRPUR,UTTAR PRADESH,HIGH,30.25611441419791,501,25.9018682715787,514,36.92466079094018,443
MAHOBA,UTTAR PRADESH,MEDIUM,29.87328345340337,506,32.19855415001533,456,36.90866268419897,444
BANDA,UTTAR PRADESH,HIGH,31.339332917501107,491,28.24425558395805,492,40.65763336658601,407
CHITRAKOOT,UTTAR PRADESH,MEDIUM,29.560282898573064,511,28.06153897088692,496,36.778508553238744,447
FATEHPUR,UTTAR PRADESH,HIGH,44.487191411097385,319,44.68841707311956,308,52.20202846115939,277
PRATAPGARH,UTTAR PRADESH,MEDIUM,51.07539924699852,243,48.17117521462384,268,64.99327675302393,133
KAUSHAMBI,UTTAR PRADESH,MEDIUM,35.39330696891012,437,39.45143345733009,373,44.48604858307995,362
ALLAHABAD,UTTAR PRADESH,LOW,55.677652414337416,178,55.70424153256282,195,65.99778210760985,123
BARA BANKI,UTTAR PRADESH,LOW,48.584463207534995,268,46.85453186552287,284,58.53113611333105,207
FAIZABAD,UTTAR PRADESH,LOW,49.02724940274459,264,47.88878973276037,273,60.74610776287789,177
AMBEDKAR NAGAR,UTTAR PRADESH,HIGH,42.34277808542994,351,49.7501409770125,256,51.224799989143044,287
SULTANPUR,UTTAR PRADESH,HIGH,49.663689387035795,261,53.485389538468375,214,58.106367062563905,214
BAHRAICH,UTTAR PRADESH,HIGH,44.14714146269378,326,32.92941035917241,452,57.027037789280314,225
SHRAWASTI,UTTAR PRADESH,MEDIUM,21.166027656382905,577,26.331331077456284,508,26.54813624973623,523
BALRAMPUR,UTTAR PRADESH,HIGH,33.72791701263018,458,23.378319294085607,541,45.260128908523065,355
GONDA,UTTAR PRADESH,HIGH,45.42971581281606,308,39.78072972240008,368,60.41153303586185,185
SIDDHARTHNAGAR,UTTAR PRADESH,LOW,39.933473955309466,386,38.604354732877965,381,50.80154042698991,292
BASTI,UTTAR PRADESH,HIGH,48.27675749682617,271,44.945115862285455,306,60.56032087712884,180
SANT KABIR NAGAR,UTTAR PRADESH,MEDIUM,35.66015156193284,432,39.322055445847525,375,41.71198021843552,394
MAHRAJGANJ,UTTAR PRADESH,HIGH,42.84721131325513,342,39.48469309794248,371,49.60299207040974,309
GORAKHPUR,UTTAR PRADESH,HIGH,63.19885445655817,112,62.97154705675405,117,74.37046737683582,51
KUSHINAGAR,UTTAR PRADESH,MEDIUM,43.68292092941654,329,47.17581911956881,282,54.085949254059265,256
DEORIA,UTTAR PRADESH,HIGH,58.799173962870185,148,56.076708175312184,191,74.08252558061665,54
AZAMGARH,UTTAR PRADESH,HIGH,60.02979151208715,131,56.238587249496376,190,74.24227398915254,52
MAU,UTTAR PRADESH,HIGH,51.46168030891381,233,59.68926478693065,154,59.28355492072084,199
BALLIA,UTTAR PRADESH,HIGH,55.92487793424718,177,58.008172456927085,165,69.19032122768125,93
JAUNPUR,UTTAR PRADESH,HIGH,52.69784018167949,214,53.378075157001525,216,63.163751124103015,150
GHAZIPUR,UTTAR PRADESH,HIGH,51.4055831221615,236,55.31673856145135,197,62.567951393612034,155
CHANDAULI,UTTAR PRADESH,MEDIUM,44.81905948942206,312,47.83890512344381,274,59.735469536146965,191
VARANASI,UTTAR PRADESH,HIGH,67.09321550051199,80,68.6137842691322,81,78.81358369943655,34
SANT RAVIDAS NAGAR BHADOHI,UTTAR PRADESH,LOW,50.113168245245575,255,52.345070614848545,226,61.03461581666166,173
MIRZAPUR,UTTAR PRADESH,HIGH,43.219568054317186,335,46.05202058880184,292,51.969411570223336,279
SONBHADRA,UTTAR PRADESH,HIGH,31.77451181116246,487,34.06745843993021,432,42.879248696571004,379
ETAH,UTTAR PRADESH,HIGH,41.003566194640165,371,42.93890205579473,329,52.20226917933907,276
KANSHIRAM NAGAR,UTTAR PRADESH,LOW,42.37517598101986,350,41.85926819984787,342,52.8763598267713,267
PASHCHIM CHAMPARAN,BIHAR,MEDIUM,45.48321779093409,306,37.53453588047789,394,58.48916950206902,208
PURBA CHAMPARAN,BIHAR,MEDIUM,55.2283918732152,185,48.31070776868417,267,73.38485935196499,62
SHEOHAR,BIHAR,MEDIUM,33.18763256730926,468,38.44176397614414,387,46.57107500904255,343
SITAMARHI,BIHAR,MEDIUM,46.2991290252664,297,42.60443984384526,333,63.586881380358165,148
MADHUBANI,BIHAR,MEDIUM,54.72386752812044,193,47.430972279034975,278,70.02588868019308,85
SUPAUL,BIHAR,MEDIUM,41.05793048211987,370,35.06057044178082,420,56.950256084116525,228
ARARIA,BIHAR,MEDIUM,41.06684697717686,369,33.60288778737015,439,52.72206739481396,268
KISHANGANJ,BIHAR,MEDIUM,32.71415542840292,479,25.787112034427995,517,38.515253568580434,428
PURNIA,BIHAR,MEDIUM,51.44317460831931,235,45.85162950649599,293,60.11267601860627,188
